Observation id,Observation date,Description,Observation type,Source,Time offset (s),Coding duration,Media duration (s),FPS (frame/s),Coder ID Initials,Arena Site,Deployement Period,Subject,Observation duration by subject by observation,Behavior,Behavioral category,Modifier #1,Modifier #2,Modifier #3,Modifier #4,Modifier #5,Behavior type,Start (s),Stop (s),Duration (s),Media file name,Image index start,Image index stop,Image file path start,Image file path stop,Comment start,Comment stop
2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12,2026-01-21 16:40:12.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12.mp4,0.0,59.467,120.767,30.000,TW,2PP, 1,Winston,12.231,point of interest/general comment,user notes,ID view,,,,,POINT,31.267,31.267,NA,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12.mp4,938,938,,,WINSTON,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12,2026-01-21 16:40:12.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12.mp4,0.0,59.467,120.767,30.000,TW,2PP, 1,Winston,12.231,bucket inspection,information gain,bucket 2,,,,,STATE,45.300,48.833,3.533,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12.mp4,1359,1465,,,,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12,2026-01-21 16:40:12.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12.mp4,0.0,59.467,120.767,30.000,TW,2PP, 1,Winston,12.231,bucket inspection,information gain,bucket 1,,,,,STATE,50.733,52.333,1.600,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12.mp4,1522,1570,,,,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12,2026-01-21 16:40:12.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12.mp4,0.0,59.467,120.767,30.000,TW,2PP, 1,Winston,12.231,handling HC,food handling,None,bucket 1,unknown,None,None,STATE,52.800,53.367,0.567,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12.mp4,1584,1601,,,,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12,2026-01-21 16:40:12.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12.mp4,0.0,59.467,120.767,30.000,TW,2PP, 1,Winston,12.231,releases HC,food handling,bucket 1,None,,,,POINT,53.367,53.367,NA,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12.mp4,1601,1601,,,,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12,2026-01-21 16:40:12.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12.mp4,0.0,59.467,120.767,30.000,TW,2PP, 1,Winston,12.231,batch processing,food handling,3HC,0HC,0HC,None,bucket 1,STATE,54.400,57.599,3.199,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12.mp4,1632,NA,,,,etna
2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12,2026-01-21 16:40:12.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12.mp4,0.0,59.467,120.767,30.000,TW,2PP, 1,Winston,12.231,2HC in batch processing,food handling,bucket 1,None,,,,STATE,55.433,57.599,2.166,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12.mp4,1663,NA,,,,etna
2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12,2026-01-21 16:40:12.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12.mp4,0.0,59.467,120.767,30.000,TW,2PP, 1,Winston,12.231,3HC in batch processing,food handling,bucket 1,None,,,,STATE,56.433,57.599,1.166,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12.mp4,1693,NA,,,,etna
2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12,2026-01-21 16:40:12.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12.mp4,0.0,59.467,120.767,30.000,TW,2PP, 1,Winston,12.231,reduced visibility,status,,,,,,POINT,57.600,57.600,NA,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12.mp4,1728,1728,,,,
2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12,2026-01-21 16:40:12.000,,Media file,player #1:teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12.mp4,0.0,59.467,120.767,30.000,TW,2PP, 1,Winston,12.231,point of interest/general comment,user notes,other - comment,,,,,POINT,59.467,59.467,NA,teressa_sync_filtered_videos\HC-2PPSTREAM\Deployement period 1\2026-HC-2PPSTREAM-A-B__2026-01-21_16-40-12.mp4,1784,1784,,,phns,
